名字,题目,选项1,选项2,选项3,选项4
亮剑,关于《亮剑》这本小说，楚云飞在小说中的立场是？,支持中国共产党,中立不参与,反对中国共产党,取决于情况
麦琪的礼物,关于《麦琪的礼物》这本小说，麦琪在故事中的角色特点是什么？,天真可爱,善解人意,愚蠢愚笨,狡诈狡猾
麦琪的礼物,关于《麦琪的礼物》这本小说，故事中麦琪丈夫的性格是什么样的?,慷慨大方,冷漠无情,善解人意,自私自利
美丽新世界,关于《美丽新世界》这本小说，人们的社会地位根据什么来划分？,宗教信仰,财富,种姓和阶级,教育水平
美丽新世界,关于《美丽新世界》这本小说，野蛮人约翰之所以受到城市人的排挤，主要是因为他的什么特点？,高智商,体力强壮,强烈的情感和思想,金发和蓝眼睛
美丽新世界,关于《美丽新世界》这本小说，约翰的文化影响主要来自哪位文学家的作品？,威廉·莎士比亚,查尔斯·狄更斯,乔治·奥威尔,简·奥斯汀
面纱,关于《面纱》这本小说，KittyFane的性格特点是什么？,善良和慈善,独立和果断,虚荣和浮躁,冷静和理性
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁是真正的幕后黑手，在犯罪行为中扮演了关键角色？,瑞提先生,波洛,贝斯奈医生,杰奎琳·贝尔福
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁最终成为了本故事的幕后黑手？,杰奎琳·贝尔福,西蒙·道尔,贝斯奈医生,瑞提先生
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁实际上是变装的英国贵族，企图勒索嫌疑犯？,吉姆·费松,瑞提先生,佛格森,提姆·艾乐顿
强风吹拂,关于《强风吹拂》这本小说，穆萨·卡马拉是哪个国家的留学生？,日本,中国,美国,坦桑尼亚
强风吹拂,关于《强风吹拂》这本小说，神童／杉山高志的老家在哪里？,东京,京都,山形县,静冈
倾城之恋,关于《倾城之恋》这本小说，白流苏在故事中是一个什么样的人？,乐观向上,失望绝望,坚定自信,冷漠超然
倾城之恋,关于《倾城之恋》这本小说，范柳原在故事中是一个怎样的人？,慷慨大方,心计多端,善解人意,直言不讳
倾城之恋,关于《倾城之恋》这本小说，白流苏的性格特点是？,懦弱退缩,勇敢坚定,多疑怀疑,轻浮放荡
情书,关于《情书》这本小说，男藤井树是一个怎样的人？,活泼和外向,冷静和理性,羞涩和内向,精明和果断
球状闪电,关于《球状闪电》这本小说，陈博士考入大学后主修的专业是什么？,物理学,大气科学,化学,数学
球状闪电,关于《球状闪电》这本小说，结束战争后，主角陈博士从事了什么研究？,空间科学,大气和龙卷风研究,生物学研究,核物理学
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，哪个角色象征了人类的罪恶对公义与善良的威胁？,斯各特·芬奇,阿提克斯·芬奇,汤姆·鲁滨逊,亚瑟·拉德力
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，哪位角色是梅康镇的警长？,阿提克斯·芬奇,亚瑟·拉德力,鲍伯·艾薇,斯各特·芬奇
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，哪位角色在故事中是道德正义的化身，也是一位律师？,斯各特·芬奇,亚瑟·拉德力,阿提克斯·芬奇,梅薏拉·尤厄尔
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，布·拉德力是怎样的人物形象？,友善但羞怯,英勇而富有正义感,世故而阴险,冷漠而自私
射雕英雄传,关于《射雕英雄传》这本小说，郭靖的成长过程中受到了哪位人物的严格督促和传授武功？,洪七公,黄药师,丘处机,欧阳锋
射雕英雄传,关于《射雕英雄传》这本小说，丘处机是以怎样的形象出现在故事中的？,聪明机敏、正直善良,冷酷狡诈、自私自利,忠诚勇敢、果断坚定,胆小怕事、善良宽厚
神雕侠侣,关于《神雕侠侣》这本小说，公孙止被塑造成怎样的角色？,慈父悲情,邪恶狡诈,正义勇敢,无情无义
神雕侠侣,关于《神雕侠侣》这本小说，小龙女的形象如何展现她的勇敢和坚定？,对抗金轮国师,保护郭襄,救援杨过,击败全真五子
鼠疫,关于《鼠疫》这本小说，百姓在瘟疫期间的行为特点是什么？,无私奉献,恐慌无助、自私贪婪,积极向政府寻求帮助,主动参与救援行动
树上的男爵,关于《树上的男爵》这本小说，彼亚哥·皮奥瓦斯科·迪·隆多是个怎样的人？,善良而果断,狡诈而野心勃勃,中性且消极,活泼而好奇
树上的男爵,关于《树上的男爵》这本小说，薇莪拉的行为体现了她对何种价值的追求？,社会地位和财富,真爱和自由,权力和权威,家庭和责任
水浒传,关于《水浒传》这本小说，史进的形象是什么？,仁爱宽厚,机智狡诈,勇敢果断,忠诚奉献
水浒传,关于《水浒传》这本小说，武松的性格特点主要体现在哪方面？,仁义勇敢,阴险狡猾,胆小怯懦,诚实宽厚
水浒传,关于《水浒传》这本小说，双鞭将呼延灼在战斗中展现了怎样的勇敢品质？,忧国忧民，勇敢坚持,懦弱逃避，不敢迎战,谋略周密，出奇制胜,勇猛无畏，奋勇杀敌
四世同堂,关于《四世同堂》这本小说，祁瑞宣的妻子被称为什么名字？,小顺儿的妈,天佑太太,韵梅,小崔
四世同堂,关于《四世同堂》这本小说，钱默吟是哪一家的人？,祁家,李家,冠家,钱家
四世同堂,关于《四世同堂》这本小说，冠晓荷的职业是什么,老师,官员,商人,农民
四世同堂,关于《四世同堂》这本小说，祁老人哪一家的大家长？,祁家,李家,钱家,冠家
四世同堂,关于《四世同堂》这本小说，哪位人物是被描述为急公好义的老好人,李四爷,钱默吟,冠晓荷,祁老人
苏菲的世界,关于《苏菲的世界》这本小说，亚伯特对苏菲有通过什么产生影响？,通过他的神秘形象,通过他的父爱和指导,通过他的友好举止,通过他的世界观和哲学知识传授
围城,关于《围城》这本小说，方鸿渐在哪个报馆任职？,上海日报,北京晨报,南京报社,广州晚报
天龙八部,关于《天龙八部》这本小说，乔峯的外貌如何？,剑眉星目，英俊潇洒,一张国字脸，顾盼之际威势非凡,红润圆满的脸庞，鼻孔高翻,粗壮的身材，留着长发
天龙八部,关于《天龙八部》这本小说，虚竹的性格特点是什么？,聪慧多才，善于言辞,外向开朗，富有幽默感,木讷老实，不善词令,冷静果断，善于决断
西线无战事,关于《西线无战事》这本小说，保罗·博伊默尔对战争的态度如何？,充满憎恨和愤怒,肆意嘲讽和讥讽,麻木和厌战,热衷参与并享受战争
西线无战事,关于《西线无战事》这本小说，在战争中，保罗·博伊默尔的人性逐渐变得怎样？,冷酷无情,善良慈悲,苛刻苦痛,乐观积极
西游记,关于《西游记》这本小说，猪八戒的性格特点是什么？,愚蠢而勇敢,聪明而忠诚,贪吃而好色,沉默而勤奋
西游记,关于《西游记》这本小说，沙悟净的特点可以概括为？,粗心而懒惰,聪明而憨厚,沉默而勤奋,胆小而狡猾
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，富?慎二的角色被描述为令人厌憎的前夫，为什么要这样塑造？,突显他的道德品质,强调他与其他角色的矛盾,凸显他的聪明才智,表现他的慈爱和关怀
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，石神的职业是？,物理学家,律师,警官,数学家
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，石神对犯罪案件的干预方式体现了他的什么特质？,冷酷无情,智慧创意,依法办事,依法办事
香水,关于《香水》这本小说，小说中格勒努耶的嗅觉能力如何影响了他的生活和行为？,使他成为杀手,增强了他的社交能力,让他成为一名作家,使他成为医生
香水,关于《香水》这本小说，格勒努耶的早年经历如何影响了他的个性和行为？,使他变得勇敢和果断,使他变得憎恨社会,使他变得善良和慈爱,使他变得顽强和乐观
香水,关于《香水》这本小说，格勒努耶患有的疾病如何影响了他的生活和选择？,使他变得孤僻和抑郁,使他更加勇敢和决断,使他放弃追求气味的目标,使他变得懦弱和消极
象棋的故事,关于《象棋的故事》这本小说，船夫的儿子被谁养育成了象棋世界冠军？,神秘的B博士,船夫,“我”,德国法西斯
象棋的故事,关于《象棋的故事》这本小说，作者如何刻画了船夫的儿子的人物特征？,聪明但固执,懦弱且消极,天赋异禀且谦虚,疯狂而叛逆
小王子,关于《小王子》这本小说，地理学家的形象如何描绘？,心胸开阔、善于倾听,追求财富、功利心强,富有幽默感、爱思考,富有同情心、友善
小王子,关于《小王子》这本小说，小王子对酒鬼这个角色的评价是：,善良而真诚,自私且沉迷于酒,睿智而善解人意,忠诚而友好
肖申克的救赎,关于《肖申克的救赎》这本小说，安迪·杜弗伦的人物塑造主要突出了哪些特征？,聪明、勇敢和怀有复仇心态,忍耐、智慧和善良,世故、狡猾和野心勃勃,冷酷、无情和阴险
肖申克的救赎,关于《肖申克的救赎》这本小说，安迪·杜弗伦对瑞德的影响，使得他变成什么样？,挫折与厌世,勇气与改变,懈怠与消沉,谎言与欺骗
肖申克的救赎,关于《肖申克的救赎》这本小说，故事中的情节分析表明了安迪·杜弗伦的什么特点？,才智和计划性,暴力和报复心态,逆境下的顽强,狡诈和欺骗手段
笑傲江湖,关于《笑傲江湖》这本小说，林平之实际上是什么身份？,岳不群的亲生儿子,岳不群的义子,岳不群的弟子,岳不群的秘密刺客
笑傲江湖,关于《笑傲江湖》这本小说，令狐冲的性格特点如何描述？,令狐冲的性格特点如何描述？,善良正直，但性格孤僻。,狡黠机智，但缺乏勇气。,喜欢捣蛋，但不擅长武功。
雪山飞狐,关于《雪山飞狐》这本小说，胡斐的武器是什么？,剑,刀,枪,钺
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，索尼娅对欧维的影响主要体现在哪个方面？,欧维工作态度的改变,欧维对社区的投入,欧维对人生的态度,欧维与猫建立感情
一个陌生女人的来信,关于《一个陌生女人的来信》这本小说，维也纳女子的性格特点是什么？,善解人意,自卑而坚强,自负自大,冷漠无情
一句顶一万句,关于《一句顶一万句》这本小说，吴摩西的性格特点是？,善良而坚强,冷漠而无情,犹豫而优柔,胆怯而低自尊
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，新娘的两个哥哥对凶案的发生起到了什么作用？,谋划实施杀害,警告圣地亚哥·纳萨尔,保护圣地亚哥·纳萨尔,协助调查真相
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，圣地亚哥·纳萨尔被描述为怎样的人物？,心狠手辣、阴险狡诈,善良慷慨、有责任心,狡猾狂妄、不择手段,冷漠无情、冷酷无比
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，圣地亚哥·纳萨尔的个性特点是什么？,骄傲自大、冷漠无情,温和善良,理智果断,消极顺从
倚天屠龙记,关于《倚天屠龙记》这本小说，张君宝最终成为哪一派的武功创始人？,少林寺,武当派,峨眉派,丐帮
倚天屠龙记,关于《倚天屠龙记》这本小说，谢逊最初是哪个教派的成员？,少林寺,武当派,天鹰教,峨眉派
倚天屠龙记,关于《倚天屠龙记》这本小说，哪位武林高手成为明教的教主？,张无忌,赵敏,张翠山,朱元璋
月亮与六便士,关于《月亮与六便士》这本小说，思特里克兰德最终选择放弃事业和家庭，专注于绘画。这种行为表现出他的哪种特质？,冒险精神,不负责任,忧郁,理想主义
云边有个小卖部,关于《云边有个小卖部》这本小说，刘十三的性格特点是什么？,乖巧,坚韧,颓废,懦弱
长安的荔枝,关于《长安的荔枝》这本小说，李善德是一个什么官职的小吏？,五品小吏,九品小吏,三品小吏,六品小吏
长安的荔枝,关于《长安的荔枝》这本小说，通过描述荔枝运输的艰辛描绘了一种什么样的人物品格？,勇敢拼搏,胆怯逃避,顺从妥协,抱怨抗议
长日将尽,关于《长日将尽》这本小说，史蒂文斯是一位典型的什么样的男管家？,慈爱温和、真诚待人,冷漠无情、曲意逢迎、造作虚伪,勇敢果断、刚正不阿,外向活泼、开朗豁达
长日将尽,关于《长日将尽》这本小说，史蒂文斯对自己的服务态度认为什么是最重要的？,创新和进取,效忠主人、恪尽职守,扩大自己的影响范围,追求个人幸福
长日将尽,关于《长日将尽》这本小说，史蒂文斯眼中达林顿勋爵是什么样的人？,平凡普通的绅士,善良友善的领袖,影响世界进程的伟人,冷漠高傲的富豪
